text
News
"News - Sports"
"Flamengo – Notícias e jogo do Flamengo – Coluna do Fla",rss,https://colunadofla.com/,https://colunadofla.com/feed/
"MMA Fighting - All Posts",rss,https://www.mmafighting.com/,https://www.mmafighting.com/rss/current.xml
"MMA News",rss,https://www.mmanews.com/,https://www.mmanews.com/feed/
"Battle of the Nations",rss,https://botn.info,https://botn.info/feed/
"Esporte News Mundo",rss,https://esportenewsmundo.com.br,https://esportenewsmundo.com.br/feed/
"Inside Archery",rss,https://insidearchery.com,https://insidearchery.com/feed/
"News - Games"
"Indie Games Plus",rss,https://indiegamesplus.com/,https://indiegamesplus.com/feed
"Steam RSS News Feed",rss,http://www.steampowered.com/,https://store.steampowered.com/feeds/news.xml
"News - Culture and Politics"
"Kirksville Today",rss,https://www.kirksvilletoday.com,http://www.kirksvilletoday.com/feed/
"DISSENT WATCH",rss,https://dissentwatch.com,https://dissentwatch.com/feed/
"American Free Press",rss,https://americanfreepress.net,https://americanfreepress.net/feed/
"American Renaissance",rss,https://www.amren.com/,https://www.amren.com/feed/
"Red Ice News",rss,https://redice.tv/rss/news,https://redice.tv/rss/news
"National File",rss,https://nationalfile.com/,https://nationalfile.com/feed/
"Trad News",rss,https://trad-news.blogspot.com/,https://trad-news.blogspot.com/feeds/posts/default?alt=rss
"Occidental Dissent",rss,https://occidentaldissent.com,https://occidentaldissent.com/feed/
"National Justice",rss,https://national-justice.com/,https://national-justice.com/feeds/feedly
"News - Geopolitics and War"
"South Front",rss,https://southfront.org,https://southfront.org/rss
"RT - Daily news",rss,https://www.rt.com,https://www.rt.com/rss-feed/
"Military Times",rss,https://www.militarytimes.com,https://www.militarytimes.com/arc/outboundfeeds/rss/category/flashpoints/?outputType=xml
"Militant Wire",rss,https://www.militantwire.com,https://www.militantwire.com/feed
"News - South America"
"Nova Resistência",rss,https://novaresistencia.org,https://novaresistencia.org/feed/
"News - Finance"
"ZeroHedge News",rss,https://www.zerohedge.com,https://feeds.feedburner.com/zerohedge/feed
